user_types,days,start_time,end_time,accessed_on
['member'],"['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:00,2019-02-07 08:20:49.696358
['nonmember'],"['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:00,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
"['member', 'nonmember']","['mon', 'tue', 'wed', 'thu', 'fri', 'sat', 'sun']",00:00:00,23:59:59,2019-02-07 08:20:49.696358
